Ref,Val,Package,PosX,PosY,Rot,Side
"BZ1","Buzzer","Buzzer_TDK_PS1240P02BT_D12.2mm_H6.5mm",144.500000,-60.620785,90.000000,top
"C2","100nF","C_1206_3216Metric",187.525000,-91.000000,0.000000,top
"D1","3.4 Zener","D_SOD-323F",187.650000,-81.750000,180.000000,top
"D2","GREEN","LED_2010_5025Metric_Pad1.52x2.65mm_HandSolder",202.750000,-45.250000,-90.000000,top
"R1","10k","R_1206_3216Metric",187.537500,-84.500000,180.000000,top
"R2","300R","R_1206_3216Metric",187.537500,-87.750000,180.000000,top
"R3","330R","R_1206_3216Metric",202.750000,-51.750000,-90.000000,top
"R4","100R","R_1206_3216Metric",145.500000,-67.750000,90.000000,top
"SW1","RESET","SW_Push_1P1T_NO_E-Switch_TL3301NxxxxxG",201.250000,-81.050000,-90.000000,top
"SW2","SW_Push","SW_Push_1P1T_NO_E-Switch_TL3301NxxxxxG",143.500000,-101.750000,0.000000,top
"SW3","SW_Push","SW_Push_1P1T_NO_E-Switch_TL3301NxxxxxG",143.550000,-113.750000,0.000000,top
"SW4","SW_Push","SW_Push_1P1T_NO_E-Switch_TL3301NxxxxxG",143.550000,-126.250000,0.000000,top
"SW5","SW_Push","SW_Push_1P1T_NO_E-Switch_TL3301NxxxxxG",143.550000,-140.000000,0.000000,top
"SW6","SW_Push","SW_Push_1P1T_NO_E-Switch_TL3301NxxxxxG",158.000000,-101.750000,0.000000,top
"SW7","SW_Push","SW_Push_1P1T_NO_E-Switch_TL3301NxxxxxG",158.050000,-113.750000,0.000000,top
"SW8","SW_Push","SW_Push_1P1T_NO_E-Switch_TL3301NxxxxxG",158.150000,-126.250000,0.000000,top
"SW9","SW_Push","SW_Push_1P1T_NO_E-Switch_TL3301NxxxxxG",158.150000,-140.000000,0.000000,top
"SW10","SW_Push","SW_Push_1P1T_NO_E-Switch_TL3301NxxxxxG",172.550000,-140.000000,0.000000,top
"SW11","SW_Push","SW_Push_1P1T_NO_E-Switch_TL3301NxxxxxG",172.500000,-126.250000,0.000000,top
"SW12","SW_Push","SW_Push_1P1T_NO_E-Switch_TL3301NxxxxxG",172.500000,-113.750000,0.000000,top
"SW13","SW_Push","SW_Push_1P1T_NO_E-Switch_TL3301NxxxxxG",172.500000,-101.750000,0.000000,top
"SW14","SW_Push","SW_Push_1P1T_NO_E-Switch_TL3301NxxxxxG",187.100000,-101.750000,0.000000,top
"SW15","SW_Push","SW_Push_1P1T_NO_E-Switch_TL3301NxxxxxG",187.150000,-113.750000,0.000000,top
"SW16","SW_Push","SW_Push_1P1T_NO_E-Switch_TL3301NxxxxxG",187.150000,-126.250000,0.000000,top
"SW17","SW_Push","SW_Push_1P1T_NO_E-Switch_TL3301NxxxxxG",187.250000,-140.000000,0.000000,top
"SW18","SW_Push","SW_Push_1P1T_NO_E-Switch_TL3301NxxxxxG",200.850000,-101.750000,0.000000,top
"SW19","SW_Push","SW_Push_1P1T_NO_E-Switch_TL3301NxxxxxG",200.900000,-113.750000,0.000000,top
"SW20","SW_Push","SW_Push_1P1T_NO_E-Switch_TL3301NxxxxxG",200.900000,-126.250000,0.000000,top
"SW21","SW_Push","SW_Push_1P1T_NO_E-Switch_TL3301NxxxxxG",201.050000,-140.000000,0.000000,top
"SW22","SW_SPDT_312","SW_Slide_SPDT_Angled_CK_OS102011MA1Q",206.250000,-66.000000,90.000000,top
"U1","ATmega328-P","DIP-28_W7.62mm",141.740000,-89.055000,90.000000,top
"U2","DM-OLED096-636","MODULE_DM-OLED096-636",173.190000,-55.250000,0.000000,top
